listing_id,retailer_id,product_id,flavor_id,pack_size_id,price
1,4,4,2,2,9.59
2,4,4,1,2,9.59
3,4,4,11,2,9.59
4,4,1,1,2,9.59
5,4,1,1,4,26.99
6,4,1,1,4,31.99
7,4,1,2,2,9.59
8,4,1,2,4,26.99
9,4,1,2,4,31.99
10,4,1,4,2,9.59
11,4,1,4,4,26.99
12,4,1,12,4,26.99
13,4,1,12,2,9.59
14,4,1,3,2,9.59
15,4,1,3,4,26.99
16,4,1,6,4,26.99
17,4,1,6,2,9.59
18,4,1,13,2,9.59
19,4,1,14,2,9.59
20,4,1,7,2,9.59
21,4,1,7,4,31.99
22,4,1,15,2,9.59
23,4,1,15,4,31.99
24,4,2,16,2,9.59
25,4,1,1,4,31.99
26,4,2,17,2,9.59
27,4,1,2,4,31.99
28,4,2,18,2,9.59
29,4,1,3,4,31.99
30,4,3,9,4,31.99
31,4,1,5,4,31.99
32,4,1,19,5,26.49
33,4,1,6,4,31.99
34,3,4,3,5,36.99
35,3,5,2,5,36.99
36,3,5,1,5,36.99
37,3,5,3,5,36.99
38,3,5,12,5,36.99
39,3,5,6,5,36.99
40,3,5,20,5,36.99
41,2,2,16,3,10.57
42,2,2,16,6,35.48
43,2,2,18,3,10.58
44,2,2,18,6,34.72
45,2,2,17,6,33.34
46,2,2,17,3,9.48
47,2,2,21,3,10.58
48,2,2,21,6,31.98
49,2,2,21,7,42.99
50,2,1,3,3,9.58
51,2,1,3,6,26.74
52,2,1,3,8,53.48
53,2,1,14,3,9.58
54,2,1,14,6,26.74
55,2,1,15,3,9.58
56,2,1,15,8,26.74
57,2,1,15,8,53.48
58,2,1,2,3,9.58
59,2,1,2,6,26.74
60,2,1,2,8,53.48
61,2,1,1,3,9.58
62,2,1,1,6,26.74
63,2,1,1,8,53.48
64,2,1,19,3,9.58
65,2,1,19,6,26.74
66,2,1,13,3,9.58
67,2,1,13,6,26.74
68,2,1,13,8,53.48
69,2,1,12,3,9.58
70,2,1,12,6,26.74
71,2,1,12,8,53.48
72,2,1,4,3,9.58
73,2,1,4,6,26.74
74,2,1,4,8,53.48
75,2,1,5,3,9.58
76,2,1,5,6,26.74
77,2,1,5,8,53.48
78,2,1,6,3,9.58
79,2,1,6,6,26.74
80,2,1,20,9,65.95
81,2,1,20,3,9.58
82,2,4,1,4,29.94
83,2,4,1,2,9.58
84,2,4,14,2,9.58
85,2,4,14,4,31.93
86,2,4,6,2,9.58
87,2,4,6,4,29.5
88,2,3,22,2,9.58
89,2,3,22,4,31.98
90,2,3,8,2,9.58
91,2,3,8,4,34.08
92,2,1,6,3,46.99
93,2,7,1,4,29.98
94,2,7,6,4,29.98
95,2,7,2,4,29.98
96,1,1,1,2,10.49
97,1,1,1,4,27.99
98,1,1,7,2,10.49
99,1,1,3,2,10.49
100,1,1,12,2,10.49
101,1,1,2,2,10.49
102,1,1,7,2,10.49
103,1,1,8,2,10.49
104,1,1,13,2,10.49
105,1,1,4,2,10.49
106,1,1,5,2,10.49
107,1,1,6,2,10.49
108,1,1,3,4,27.99
109,1,1,2,4,27.99
110,1,1,7,4,27.99
111,1,1,5,4,27.99
112,1,1,6,4,27.99
113,2,6,9,4,27.98
