promo_id,listing_id,retailer_id,promo_type,promo_value,promo_price,start_date,end_date
1,34,3,"""Buy X  Save Y""","""Buy 2 Save 5""",36.99,"""2026-03-30""","""2026-04-26"""
2,35,3,"""Buy X  Save Y""","""Buy 2 Save 5""",36.99,"""2026-03-30""","""2026-04-26"""
3,36,3,"""Buy X  Save Y""","""Buy 2 Save 5""",36.99,"""2026-03-30""","""2026-04-26"""
4,37,3,"""Buy X  Save Y""","""Buy 2 Save 5""",36.99,"""2026-03-30""","""2026-04-26"""
5,38,3,"""Buy X  Save Y""","""Buy 2 Save 5""",36.99,"""2026-03-30""","""2026-04-26"""
6,39,3,"""Buy X  Save Y""","""Buy 2 Save 5""",36.99,"""2026-03-30""","""2026-04-26"""
7,40,3,"""Buy X  Save Y""","""Buy 2 Save 5""",36.99,"""2026-03-30""","""2026-04-26"""
8,96,1,"""Price Override""","""Plus Card Price""",9.99,"""2026-03-30""","""2026-04-26"""
9,98,1,"""Price Override""","""Plus Card Price""",9.99,"""2026-03-30""","""2026-04-26"""
10,99,1,"""Price Override""","""Plus Card Price""",9.99,"""2026-03-30""","""2026-04-26"""
11,100,1,"""Price Override""","""Plus Card Price""",9.99,"""2026-03-30""","""2026-04-26"""
12,101,1,"""Price Override""","""Plus Card Price""",9.99,"""2026-03-30""","""2026-04-26"""
13,102,1,"""Price Override""","""Plus Card Price""",9.99,"""2026-03-30""","""2026-04-26"""
14,103,1,"""Price Override""","""Plus Card Price""",9.99,"""2026-03-30""","""2026-04-26"""
15,104,1,"""Price Override""","""Plus Card Price""",9.99,"""2026-03-30""","""2026-04-26"""
16,105,1,"""Price Override""","""Plus Card Price""",9.99,"""2026-03-30""","""2026-04-26"""
17,106,1,"""Price Override""","""Plus Card Price""",9.99,"""2026-03-30""","""2026-04-26"""
18,107,1,"""Price Override""","""Plus Card Price""",9.99,"""2026-03-30""","""2026-04-26"""
